"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000260802",352.217779591539,1.79041666108083,0.259644499208179,6.89564641862604,5.36204128572589e-12,1.70727394537512e-08
"ENSG00000141753",1005.36277308055,1.06511871147228,0.213913415395393,4.97920483156019,6.38460438496525e-07,0.00101642901808647
"ENSG00000112379",1225.96069521652,-1.0165586845206,0.214191449211112,-4.74602832309452,2.07449676409498e-06,0.00220173256562614
"ENSG00000197956",382.769490214201,1.08630169959658,0.234876757448763,4.62498593473452,3.74623821777085e-06,0.0029820056213456
"ENSG00000064651",582.938022170355,-1.09370373008344,0.248177679997617,-4.40693832778976,1.04842023480786e-05,0.00556361671271371
"ENSG00000137673",568.670148975671,1.49954681875061,0.337831136946123,4.43874662444082,9.0484261117489e-06,0.00556361671271371
"ENSG00000049759",1825.88767836883,-0.895199155241274,0.210152852748861,-4.25975257310003,2.04653323584082e-05,0.00645846910285281
"ENSG00000054690",1285.93442728543,-1.12168683023862,0.26098959199964,-4.29782207652237,1.72484526666808e-05,0.00645846910285281
"ENSG00000124406",303.492557189392,-1.10091451171923,0.259495805019384,-4.24251371476695,2.2103002925053e-05,0.00645846910285281
"ENSG00000139116",288.305883441427,-1.10043092397542,0.259511339771454,-4.24039629614856,2.23125502925191e-05,0.00645846910285281
"ENSG00000157214",2286.33549595393,-1.06930019185778,0.247583137682314,-4.3189540364815,1.56770424659566e-05,0.00645846910285281
"ENSG00000099194",752.867957975323,-1.11710351685685,0.273858676458234,-4.07912406246955,4.52057088662092e-05,0.0115811765392425
"ENSG00000152377",2346.84918458364,-1.02277525452139,0.251379098373475,-4.0686567066998,4.72849544629874e-05,0.0115811765392425
"ENSG00000131844",1013.65833128334,-1.00970491194154,0.252101192530084,-4.00515722201927,6.19762458132244e-05,0.0136253755608602
"ENSG00000269936",628.566448829724,1.15817225386802,0.289770977655108,3.99685387142704,6.41898974286756e-05,0.0136253755608602
"ENSG00000184678",528.519728253467,-1.14062506467274,0.286591655762014,-3.97996606579472,6.89251062549834e-05,0.0137160961447417
"ENSG00000076706",360.737902879665,1.03749499083548,0.262680445116726,3.94964684323744,7.8266583867258e-05,0.0146588707666676
"ENSG00000096006",1899.59683070287,-1.14007344879328,0.292677060633743,-3.89532902347948,9.80655180422817e-05,0.0150427684801588
"ENSG00000127418",502.255091795122,-0.999590091339985,0.254655239261408,-3.92526811637239,8.66331893721396e-05,0.0150427684801588
"ENSG00000138696",499.972384302128,-0.962670706760966,0.246846373347627,-3.89987786211169,9.62412263140306e-05,0.0150427684801588
"ENSG00000146070",329.917734873209,-1.19081926570655,0.306746798054676,-3.88209191834594,0.000103561714745421,0.0150427684801588
"ENSG00000169710",2665.46226664455,-1.03784750428884,0.267403189553647,-3.88120839553644,0.00010393872693577,0.0150427684801588
"ENSG00000132386",343.688179787449,0.912584084571438,0.242619875571568,3.76137396996663,0.000168982559934175,0.0228766364906067
"ENSG00000134755",291.370287673754,-1.00567074377563,0.268673804112242,-3.74309191437023,0.000181769700818428,0.0228766364906067
"ENSG00000167757",486.151398298568,-1.16737308213016,0.311978967094852,-3.74183264019603,0.000182683164501292,0.0228766364906067
"ENSG00000210194",265.540776931966,1.42195812164171,0.380587289946177,3.7362207283454,0.000186806705011235,0.0228766364906067
"ENSG00000157110",474.392854318024,0.934936049907124,0.251861993844469,3.71209659558428,0.000205549507180466,0.0242396159578742
